fecha,empresa,operacion,campo,GOV,GSV,NSV
04-02-2022,GEOPARK,ENTREGA POR REMITENTE,TIGANA ESTACION,4286.727968903637,4224.172077961207,4213.188030047924
04-02-2022,PAREX,ENTREGA POR REMITENTE,JACANA ESTACION,13654.667446515496,13455.405936609646,13420.418057145294
04-02-2022,PAREX,ENTREGA POR REMITENTE,CHIRICOCA,239.49399871895088,235.9990812495177,235.38541656728097
04-02-2022,PAREX,ENTREGA POR REMITENTE,AZOGUE,68.28182931557218,67.28539784173014,67.11043668481759
04-02-2022,PAREX,ENTREGA POR REMITENTE,CAPACHOS,241.78833315625673,238.25993464116664,237.6403910975766
04-02-2022,PAREX,ENTREGA POR REMITENTE,TIGANA ESTACION,13197.511560565299,13004.921291277618,12971.104799918961
05-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,AZOGUE,221.74,218.19,217.92
05-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,CHIRICOCA,242.8,237.92,237.76
05-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,AZOGUE,250.95,246.91,246.63
05-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,GUACO,246.15,243.1,242.81
05-02-2022,GEOPARK,DESPACHO POR REMITENTE,JACANA ESTACION,11692.399500000001,11201.319,11173.428
05-02-2022,GEOPARK,DESPACHO POR REMITENTE,CHIRICOCA,63.72999999999996,62.82999999999999,62.91999999999996
05-02-2022,GEOPARK,DESPACHO POR REMITENTE,AZOGUE,243.03,238.74,238.4
05-02-2022,GEOPARK,DESPACHO POR REMITENTE,TIGANA ESTACION,4438.159613856175,4246.873716510287,4234.77
05-02-2022,PAREX,DESPACHO POR REMITENTE,JACANA ESTACION,14290.710500000001,13690.501,13656.412000000002
05-02-2022,PAREX,DESPACHO POR REMITENTE,CHIRICOCA,242.8,237.92,237.76
05-02-2022,PAREX,DESPACHO POR REMITENTE,AZOGUE,162.65999999999997,159.96000000000004,159.81000000000012
05-02-2022,PAREX,DESPACHO POR REMITENTE,GUACO,246.15,243.1,242.81
05-02-2022,PAREX,DESPACHO POR REMITENTE,TIGANA ESTACION,13624.370386143824,13037.156283489712,13000
05-02-2022,GEOPARK,ENTREGA POR REMITENTE,JACANA ESTACION,11340.282559950854,11174.204829021603,11144.142325312727
05-02-2022,GEOPARK,ENTREGA POR REMITENTE,CHIRICOCA,63.85959426884098,62.92437449295228,62.755086004821116
05-02-2022,GEOPARK,ENTREGA POR REMITENTE,AZOGUE,241.9600647439876,238.4165746840406,237.775151041789
05-02-2022,GEOPARK,ENTREGA POR REMITENTE,TIGANA ESTACION,4298.008487315002,4235.064421034961,4223.670622387738
05-02-2022,PAREX,ENTREGA POR REMITENTE,JACANA ESTACION,13860.345351051046,13657.361457693072,13620.618397604447
05-02-2022,PAREX,ENTREGA POR REMITENTE,CHIRICOCA,241.31050752319834,237.7765301882445,237.13682848865668
05-02-2022,PAREX,ENTREGA POR REMITENTE,AZOGUE,162.19646789738542,159.82111073933117,159.3911362751188
05-02-2022,PAREX,ENTREGA POR REMITENTE,GUACO,246.43591996848835,242.82688128788544,242.17359238446636
05-02-2022,PAREX,ENTREGA POR REMITENTE,TIGANA ESTACION,13194.131047281202,13000.903820857919,12965.926860500238
06-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,CHIRICOCA,225.06,220.3,220.15
06-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,GUACO,224.51,221.89,221.64
06-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,CHIRICOCA,254.22,249.2,249.04
06-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,AZOGUE,253.42,249.2,249
06-02-2022,GEOPARK,DESPACHO POR REMITENTE,JACANA ESTACION,13679.3835,13102.114500000001,13073.157
06-02-2022,GEOPARK,DESPACHO POR REMITENTE,CHIRICOCA,225.06,220.3,220.15
06-02-2022,GEOPARK,DESPACHO POR REMITENTE,AZOGUE,221.73999999999998,218.19,217.92
06-02-2022,GEOPARK,DESPACHO POR REMITENTE,GUACO,168.7800000000001,166.75000000000006,166.95
06-02-2022,GEOPARK,DESPACHO POR REMITENTE,TIGANA ESTACION,4245.444030829622,4062.8895907583355,4049.1171400262388
06-02-2022,PAREX,DESPACHO POR REMITENTE,JACANA ESTACION,16719.2465,16013.695500000002,15978.303000000002
06-02-2022,PAREX,DESPACHO POR REMITENTE,CHIRICOCA,254.22,249.2,249.04
06-02-2022,PAREX,DESPACHO POR REMITENTE,AZOGUE,88.29000000000002,86.93999999999996,86.82
06-02-2022,PAREX,DESPACHO POR REMITENTE,TIGANA ESTACION,13630.335969170377,13044.230409241663,13000.012859973762
